site_id,year,year_id,winter_GDD,scaled_winter_GDD
10,2012,29,1289.8688,1.105253095
10,2013,30,1062.415734,-0.651216878
10,2014,31,1149.002475,0.017435397
10,2015,32,1100.744703,-0.355227536
10,2016,33,1123.46538,-0.179770739
10,2017,34,1201.368498,0.421823646
10,2018,35,1020.583548,-0.974259254
11,1984,1,1168.181832,0.165544925
11,1985,2,1105.647324,-0.317367827
11,1986,3,1021.300418,-0.968723343
11,1987,4,1148.269647,0.011776252
11,1988,5,1265.766066,0.919123586
11,1989,6,1301.79325,1.197337762
11,1990,7,1321.587564,1.350196186
11,1991,8,1163.400042,0.128618308
11,1992,9,1283.909828,1.059235884
11,1993,10,1293.339047,1.132051526
11,1994,11,1174.388089,0.213471751
11,1995,12,1227.496468,0.623592725
11,1996,13,1114.080439,-0.252244449
11,1997,14,1247.66009,0.779303073
11,1998,15,1258.132683,0.860176001
11,1999,16,1235.453883,0.685042595
11,2000,17,1205.104788,0.450676551
11,2001,18,1039.169787,-0.830729991
11,2002,19,1265.738376,0.918909752
11,2003,20,1165.762119,0.146859071
11,2004,21,1148.990836,0.017345516
11,2005,22,1200.378474,0.414178349
11,2006,23,1065.102978,-0.630465071
11,2007,24,1172.680419,0.200284539
11,2008,25,1121.535895,-0.194670881
11,2009,26,1080.778508,-0.509413293
11,2010,27,840.0095491,-2.368713124
11,2011,28,1050.912288,-0.740050406
11,2012,29,1208.425226,0.476318102
11,2013,30,915.3006122,-1.787289913
11,2014,31,1034.319632,-0.86818454
11,2015,32,968.3252315,-1.377815759
11,2016,33,998.4679346,-1.145043548
11,2017,34,1086.978287,-0.461536487
11,2018,35,869.5925376,-2.14026322
12,1984,1,1251.706918,0.810554061
12,1985,2,1188.907533,0.325595836
12,1986,3,1095.882393,-0.392775949
12,1987,4,1219.423967,0.561254124
12,1988,5,1337.7467,1.474982536
12,1989,6,1372.044934,1.739845171
12,1990,7,1389.398941,1.873858721
12,1991,8,1233.945538,0.673394637
12,1992,9,1347.69948,1.551841285
12,1993,10,1347.389073,1.549444221
12,1994,11,1252.105253,0.813630136
12,1995,12,1298.333836,1.170622988
12,1996,13,1184.510403,0.291639702
12,1997,14,1310.467344,1.264322063
12,1998,15,1321.459771,1.349209327
12,1999,16,1299.824841,1.182137037
12,2000,17,1266.486127,0.924684141
12,2001,18,1123.801529,-0.177174879
12,2002,19,1335.232589,1.455567712
12,2003,20,1240.389986,0.723160858
12,2004,21,1229.332175,0.637768676
12,2005,22,1249.349367,0.792348248
12,2006,23,1139.003517,-0.059779954
12,2007,24,1240.350658,0.722857153
12,2008,25,1201.253555,0.420936024
12,2009,26,1146.049072,-0.00537178
12,2010,27,929.5586438,-1.677184541
12,2011,28,1118.12322,-0.221024713
12,2012,29,1260.109575,0.875442236
12,2013,30,990.0492788,-1.210055273
12,2014,31,1101.101152,-0.352474915
12,2015,32,1032.987596,-0.878470976
12,2016,33,1066.604188,-0.618872216
12,2017,34,1150.477729,0.028827816
12,2018,35,947.2542619,-1.540532957
13,1984,1,1185.069537,0.295957524
13,1985,2,1122.420322,-0.187841029
13,1986,3,1035.543297,-0.858734979
13,1987,4,1163.926099,0.132680706
13,1988,5,1279.873544,1.028066332
13,1989,6,1316.66133,1.31215413
13,1990,7,1346.446619,1.542166266
13,1991,8,1181.372663,0.267409007
13,1992,9,1295.501615,1.148751612
13,1993,10,1308.240554,1.247126031
13,1994,11,1194.32576,0.367437229
13,1995,12,1245.893995,0.765664687
13,1996,13,1133.21114,-0.104510663
13,1997,14,1270.802225,0.95801452
13,1998,15,1274.532511,0.986821056
13,1999,16,1246.155985,0.767687865
13,2000,17,1213.832363,0.518073852
13,2001,18,1055.46424,-0.704898684
13,2002,19,1282.31544,1.046923484
13,2003,20,1177.65813,0.238724121
13,2004,21,1159.192305,0.096124732
13,2005,22,1208.780998,0.479065499
13,2006,23,1074.288377,-0.559532287
13,2007,24,1183.247366,0.281886099
13,2008,25,1141.847087,-0.037820944
13,2009,26,1090.544548,-0.433996603
13,2010,27,845.0534836,-2.329762145
13,2011,28,1061.951048,-0.654805347
13,2012,29,1224.823113,0.602948166
13,2013,30,928.9129285,-1.682170974
13,2014,31,1053.373605,-0.72104328
13,2015,32,977.8137967,-1.304541829
13,2016,33,1010.271543,-1.053892064
13,2017,34,1104.106205,-0.329268876
13,2018,35,885.1224318,-2.020336092
14,1984,1,1214.199567,0.520909528
14,1985,2,1149.948772,0.024743024
14,1986,3,1057.86209,-0.686381667
14,1987,4,1188.928975,0.325761419
14,1988,5,1304.174042,1.215723042
14,1989,6,1340.258153,1.494376832
14,1990,7,1369.555925,1.720624191
14,1991,8,1202.450987,0.430182997
14,1992,9,1315.120972,1.300258967
14,1993,10,1323.465467,1.36469799
14,1994,11,1218.789317,0.556353145
14,1995,12,1268.662527,0.941491044
14,1996,13,1155.054811,0.064173596
14,1997,14,1291.853301,1.120578088
14,1998,15,1293.998175,1.137141535
14,1999,16,1266.953742,0.928295222
